year,estimate,drug,grade,time
1991-01-01T05:00Z,6.2,Marijuana (Cannabis),8th Grade,12 Month
1992-01-01T05:00Z,7.2,Marijuana (Cannabis),8th Grade,12 Month
1993-01-01T05:00Z,9.2,Marijuana (Cannabis),8th Grade,12 Month
1994-01-01T05:00Z,13,Marijuana (Cannabis),8th Grade,12 Month
1995-01-01T05:00Z,15.8,Marijuana (Cannabis),8th Grade,12 Month
1996-01-01T05:00Z,18.3,Marijuana (Cannabis),8th Grade,12 Month
1997-01-01T05:00Z,17.7,Marijuana (Cannabis),8th Grade,12 Month
1998-01-01T05:00Z,16.9,Marijuana (Cannabis),8th Grade,12 Month
1999-01-01T05:00Z,16.5,Marijuana (Cannabis),8th Grade,12 Month
2000-01-01T05:00Z,15.6,Marijuana (Cannabis),8th Grade,12 Month
2001-01-01T05:00Z,15.4,Marijuana (Cannabis),8th Grade,12 Month
2002-01-01T05:00Z,14.6,Marijuana (Cannabis),8th Grade,12 Month
2003-01-01T05:00Z,12.8,Marijuana (Cannabis),8th Grade,12 Month
2004-01-01T05:00Z,11.8,Marijuana (Cannabis),8th Grade,12 Month
2005-01-01T05:00Z,12.2,Marijuana (Cannabis),8th Grade,12 Month
2006-01-01T05:00Z,11.7,Marijuana (Cannabis),8th Grade,12 Month
2007-01-01T05:00Z,10.3,Marijuana (Cannabis),8th Grade,12 Month
2008-01-01T05:00Z,10.9,Marijuana (Cannabis),8th Grade,12 Month
2009-01-01T05:00Z,11.8,Marijuana (Cannabis),8th Grade,12 Month
2010-01-01T05:00Z,13.7,Marijuana (Cannabis),8th Grade,12 Month
2011-01-01T05:00Z,12.5,Marijuana (Cannabis),8th Grade,12 Month
2012-01-01T05:00Z,11.4,Marijuana (Cannabis),8th Grade,12 Month
2013-01-01T05:00Z,12.7,Marijuana (Cannabis),8th Grade,12 Month
2014-01-01T05:00Z,11.7,Marijuana (Cannabis),8th Grade,12 Month
2015-01-01T05:00Z,11.8,Marijuana (Cannabis),8th Grade,12 Month
2016-01-01T05:00Z,9.4,Marijuana (Cannabis),8th Grade,12 Month
2017-01-01T05:00Z,10.1,Marijuana (Cannabis),8th Grade,12 Month
2018-01-01T05:00Z,10.5,Marijuana (Cannabis),8th Grade,12 Month
2019-01-01T05:00Z,11.8,Marijuana (Cannabis),8th Grade,12 Month
2020-01-01T05:00Z,11.4,Marijuana (Cannabis),8th Grade,12 Month
2021-01-01T05:00Z,7.1,Marijuana (Cannabis),8th Grade,12 Month
2022-01-01T05:00Z,8.3,Marijuana (Cannabis),8th Grade,12 Month
2023-01-01T05:00Z,8.3,Marijuana (Cannabis),8th Grade,12 Month
2024-01-01T05:00Z,7.2,Marijuana (Cannabis),8th Grade,12 Month
1991-01-01T05:00Z,16.5,Marijuana (Cannabis),10th Grade,12 Month
1992-01-01T05:00Z,15.2,Marijuana (Cannabis),10th Grade,12 Month
1993-01-01T05:00Z,19.2,Marijuana (Cannabis),10th Grade,12 Month
1994-01-01T05:00Z,25.2,Marijuana (Cannabis),10th Grade,12 Month
1995-01-01T05:00Z,28.7,Marijuana (Cannabis),10th Grade,12 Month
